"LHBL","LafargeHolcim Bangladesh Limited"
"LIBRAINFU","Libra Infusions Limited"
"LINDEBD","Linde Bangladesh Limited"
"LRGLOBMF1","LR Global Bangladesh Mutual Fund One"
"MAKSONSPIN","Maksons Spinning Mills Limited"
"MALEKSPIN","Malek Spinning Mills Ltd."
"MARICO","Marico Bangladesh Limited"
"MATINSPINN","Matin Spinning Mills Ltd."
"MBL1STMF","MBL 1st Mutual Fund"
"MEGCONMILK","Meghna Condensed Milk Industries Ltd."
"MEGHNACEM","Meghna Cement Mills Ltd."
"MEGHNALIFE","Meghna Life Insurance Co. Ltd."
"MEGHNAPET","Meghna Pet Industries Ltd."
"MERCANBANK","Mercantile Bank Ltd."
"MERCINS","Mercantile Insurance Co. Ltd."
"METROSPIN","Metro Spinning Ltd."
"MHSML","Mozaffar Hossain Spinning Mills Ltd."
"MICEMENT","M.I. Cement Factory Limited"
"MIDASFIN","MIDAS Financing Ltd."
"MIRACLEIND","Miracle Industries Ltd."
"MITHUNKNIT","Mithun Knitting and Dyeing Ltd."
"MJLBD","MJL Bangladesh Limited"
"MODERNDYE","Modern Dyeing & Screen Printing Ltd."
"MONNOCERA","Monno Ceramic Industries Ltd."
"MONNOSTAF","Monno Jute Stafflers Ltd."
"MPETROLEUM","Meghna Petroleum Limited"
"MTB","Mutual Trust Bank Ltd."
"NAHEEACP","Nahee Aluminum Composite Panel Ltd."
"NATLIFEINS","National Life Insurance Company Ltd."
"NAVANACNG","Navana CNG Limited"
"NBL","National Bank Ltd."
"NCCBANK","National Credit and Commerce Bank Ltd."
"NCCBLMF1","NCCBL Mutual Fund-1"
"NFML","National Feed Mill Limited"
"NHFIL","National Housing Fin. and Inv. Ltd."
"NITOLINS","Nitol Insurance Co. Ltd."
"NLI1STMF","NLI First Mutual Fund"
"NORTHERN","Northern Jute Manufacturing Co. Ltd."
"NORTHRNINS","Northern General Insurance Company Ltd."
"NPOLYMAR","National Polymer Industries Ltd."
"NTC","National Tea Company Ltd."
"NTLTUBES","National Tubes Limited"
"NURANI","Nurani Dyeing & Sweater Limited"
"OAL","Olympic Accessories Limited"
"OIMEX","Oimex Electrode Limited"
"OLYMPIC","Olympic Industries Ltd."
